id,username,password,email,type
1,"bezoeker1","film","bezoeker1@hotmail.com","bezoeker"
2,"bezoeker2","film","bezoeker2@hotmail.com","bezoeker"
3,"bezoeker3","film","bezoeker3@hotmail.com","bezoeker"
4,"NPO3","password","npo3@hotmail.com","aanbieder"
5,"Canvas","password","canvas@hotmail.com","aanbieder"
6,"NET5","password","net5@hotmail.com","aanbieder"
7,"RTL7","password","rtl7@hotmail.com","aanbieder"
8,"RTL8","password","rtl8@hotmail.com","aanbieder"
9,"RTL9","password","rtl9@hotmail.com","aanbieder"
10,"Veronica","password","veronica@hotmail.com","aanbieder"
11,"TV5","password","tv5@hotmail.com","aanbieder"
12,"Canvas","password","canvas@hotmail.com","aanbieder"
13,"NPO2","password","npo2@hotmail.com","aanbieder"
14,"Eén","password","een@hotmail.com","aanbieder"
15,"BBC1","password","bbc1@hotmail.com","aanbieder"
16,"BBC2","password","bbc2@hotmail.com","aanbieder"
17,"RTL4","password","rtl4@hotmail.com","aanbieder"
18,"SBS9","password","sbs9@hotmail.com","aanbieder"
19,"FOX","password","fox@hotmail.com","aanbieder"
